#       XLXHosts.txt
#
#       Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#       Origional idea from Jonathan Naylor (G4KLX)
#
#       Updated Tuesday 8th of January 2019 07:13:22 PM UTC
#
#	The format of this file is:
#	XLX Number;host;default
#
#	Downloaded from: http://www.pistar.uk/downloads/XLXHosts.txt
#	Source from: http://xlxapi.rlx.lu/api.php?do=GetXLXDMRMaster
#
#########################################################################
#
#	XLX Hosts Below
#
#########################################################################
000;23.111.174.198;4004
001;77.57.24.143;4004
002;140.82.62.162;4004
004;44.103.34.3;4001
005;87.117.229.174;4004
006;34.213.176.201;4004
007;212.227.203.37;4004
008;45.77.153.132;4004
010;85.197.129.86;4004
011;81.95.126.168;4004
012;194.38.140.205;4004
014;110.232.113.108;4004
015;213.202.228.119;4004
017;85.214.78.198;4004
019;31.7.247.58;4004
022;83.137.45.98;4004
024;94.199.173.123;4004
025;89.38.150.252;4004
026;65.175.188.230;4004
029;80.123.238.76;4004
030;194.59.177.44;4004
032;158.64.26.140;4004
033;46.226.178.81;4004
035;45.79.94.184;4004
038;5.249.151.111;4004
039;31.14.142.119;4004
040;109.71.45.29;4004
046;176.10.140.161;4004
047;202.171.147.58;4004
049;212.71.234.224;4004
050;80.211.155.206;4004
051;93.186.254.219;4004
052;121.119.96.205;4004
053;185.97.120.120;4004
054;52.86.180.251;4004
055;52.80.4.154;4004
057;74.193.217.15;4004
058;118.110.251.54;4004
059;18.219.32.21;4004
060;212.237.36.181;4004
064;122.222.1.50;4004
067;77.229.104.173;4004
068;92.222.145.202;4004
072;75.60.237.17;4004
074;212.237.211.82;4004
076;203.137.116.117;4004
077;216.21.9.156;4004
078;109.15.57.11;4004
080;121.81.128.207;4004
081;121.82.151.243;4004
083;185.205.210.217;4004
085;113.150.26.8;4004
087;44.137.36.209;4004
088;194.109.192.235;4004
089;194.109.192.236;4004
090;91.92.136.252;4004
093;82.51.162.200;4004
095;203.137.76.53;4004
097;80.211.154.173;4004
098;203.136.233.165;4004
099;80.211.27.75;4004
100;45.62.233.223;4004
101;64.137.236.164;4004
102;23.111.174.196;4004
103;64.137.224.126;4004
104;23.111.174.197;4004
105;51.254.99.78;4004
109;182.168.128.138;4004
110;150.7.164.10;4004
111;61.195.96.160;4004
112;94.177.235.81;4004
113;151.12.36.103;4004
114;5.135.188.16;4004
115;217.182.128.3;4004
118;5.249.148.252;4004
119;125.129.207.86;4004
120;81.150.10.63;4004
121;174.37.249.156;4004
124;211.14.169.234;4004
125;213.181.208.52;4004
129;220.209.106.220;4004
130;194.59.177.45;4004
131;80.127.118.226;4004
132;91.203.55.87;4004
135;74.208.214.69;4004
140;95.211.211.145;4004
145;178.59.23.138;4004
147;46.41.1.127;4004
150;80.211.10.212;4004
158;150.66.16.176;4004
160;61.195.109.179;4004
170;210.178.113.173;4004
171;210.178.113.123;4004
175;162.248.92.25;4004
180;192.241.240.7;4004
185;89.106.108.151;4004
199;153.126.179.214;4004
204;85.214.126.111;4004
206;193.190.240.227;4004
208;151.80.155.39;4004
210;64.137.224.107;4004
212;52.38.90.188;4004
214;185.47.129.230;4004
216;74.214.25.135;4004
220;124.41.83.11;4004
222;212.43.96.84;4004
224;203.137.99.97;4004
226;2.226.183.226;4004
227;89.33.44.100;4004
228;83.77.104.52;4004
229;194.191.4.54;4004
232;89.185.97.35;4004
241;151.80.158.227;4004
246;172.93.48.159;4004
255;142.91.158.199;4004
258;75.60.237.19;4004
262;92.192.107.54;4004
263;85.214.193.146;4004
264;52.2.131.118;4004
266;212.237.51.82;4004
268;194.38.140.204;4005
270;158.64.26.132;4002
272;200.231.36.188;4004
284;95.158.165.32;4002
287;43.245.172.2;4004
290;44.182.7.20;4004
291;101.143.242.189;4004
298;220.144.59.222;4004
299;203.86.194.92;4002
300;45.62.244.43;4004
302;144.217.241.23;4004
303;75.70.52.143;4004
305;145.239.116.57;4004
307;72.21.76.154;4004
310;52.11.207.121;4004
311;78.47.206.12;4004
312;192.241.160.183;4004
313;34.213.108.164;4001
315;65.101.7.50;4004
317;44.48.8.15;4004
321;31.207.110.45;4004
328;212.237.33.114;4004
329;114.181.139.32;4004
330;18.222.199.205;4004
332;188.213.168.99;4004
333;194.116.29.73;4004
334;96.47.95.121;4004
336;23.226.233.133;4004
345;45.62.237.34;4004
352;35.230.162.146;4004
358;93.152.167.4;4004
359;94.156.172.213;4002
360;222.229.25.105;4004
364;159.65.231.53;4004
365;59.139.141.204;4004
370;188.213.168.24;4004
371;212.237.8.77;4004
373;58.189.49.139;4004
374;61.195.108.146;4004
376;75.145.119.225;4004
379;104.218.36.162;4004
380;160.16.65.39;4004
382;211.131.19.200;4004
388;138.197.67.52;4004
389;106.71.198.27;4004
390;149.7.214.253;4004
393;139.91.200.186;4004
399;185.227.110.247;4004
400;13.58.192.185;4004
410;166.78.145.146;4004
411;82.171.119.45;4004
412;61.195.107.113;4004
420;174.138.113.116;4004
421;118.189.181.236;4004
431;61.195.98.225;4004
434;51.254.128.134;4004
440;153.133.72.142;4004
441;203.137.99.110;4004
444;188.68.37.51;4004
449;159.89.183.117;4004
450;64.137.224.233;4004
454;168.70.74.137;4004
455;208.71.169.83;4004
456;54.37.204.187;4004
464;52.192.129.174;4004
470;104.49.29.243;4004
477;139.162.213.89;4004
479;198.58.106.10;4004
486;51.255.172.249;4004
499;203.137.76.22;4004
500;58.96.21.253;4004
501;198.211.98.63;4004
502;104.143.94.48;4004
505;45.248.50.37;4004
506;121.200.19.211;4004
508;185.188.4.15;4004
511;213.172.232.13;4004
515;203.137.78.35;4004
518;176.9.1.168;4006
519;167.114.104.65;4004
520;119.59.125.192;4004
521;150.129.184.54;4004
522;14.102.146.160;4004
525;80.211.68.38;4004
530;116.251.193.99;4004
538;124.41.76.58;4004
544;210.131.32.240;4004
550;89.36.222.146;4004
551;182.167.49.77;4004
554;52.35.183.178;4004
555;210.86.135.13;4004
569;203.137.111.98;4004
583;183.76.149.208;4004
587;68.32.126.21;4004
595;220.146.23.42;4004
599;203.137.118.190;4004
600;13.69.14.204;4004
601;51.141.52.193;4004
602;212.56.100.200;4004
604;139.162.241.24;4004
605;183.76.179.238;4004
608;219.122.253.83;4004
610;89.186.80.81;4004
613;198.50.202.39;4004
619;167.99.168.82;4004
626;45.77.234.162;4001
627;121.75.75.200;4004
634;180.46.54.237;4004
655;146.64.235.19;4004
666;86.188.14.232;4004
673;180.147.243.178;4004
684;212.237.17.83;4004
689;97.107.128.47;4004
699;82.102.5.239;4004
701;61.195.107.77;4004
703;61.195.98.254;4004
704;150.66.34.110;4004
706;93.186.255.126;4004
707;90.145.156.196;4004
708;202.218.37.62;4004
709;212.237.34.32;4004
712;124.86.129.12;4004
713;218.251.63.99;4004
714;81.169.140.163;4004
717;44.137.70.100;4004
724;189.20.209.70;4004
725;172.245.9.180;4004
732;190.159.68.105;4004
733;45.56.117.158;4004
737;195.130.75.246;4004
740;173.208.200.180;4004
741;203.137.78.41;4004
746;178.254.34.44;4004
747;93.209.36.152;4004
749;45.77.102.203;4004
750;203.86.206.49;4004
751;203.118.145.79;4004
752;66.154.105.195;4004
755;178.22.148.229;4011
757;43.229.63.42;4004
762;129.21.36.65;4004
768;80.211.199.231;4004
770;153.126.173.9;4004
773;94.177.175.230;4004
776;218.221.181.241;4004
777;194.182.66.76;4004
781;101.143.242.199;4004
787;46.41.1.96;4004
789;45.33.119.142;4004
794;101.143.242.95;4004
800;87.252.188.119;4004
801;213.47.71.17;4004
803;77.116.56.123;4004
806;178.198.23.201;4004
808;18.220.252.27;4004
809;78.46.11.69;4004
810;64.137.238.189;4004
812;203.145.233.141;4004
813;97.76.81.165;4004
817;18.235.96.93;4004
828;195.225.116.244;4004
844;137.226.79.122;4004
850;88.198.94.77;4004
860;24.134.86.93;4004
866;46.93.204.84;4004
878;203.137.123.113;4004
883;153.179.226.85;4004
886;118.163.103.178;4003
887;118.163.103.177;4004
888;46.18.142.169;4004
893;104.223.59.212;4004
900;94.177.237.192;4004
903;80.211.29.226;4004
904;211.14.169.215;4004
907;176.84.168.11;4004
908;92.222.23.124;4004
909;216.86.147.198;4004
911;178.128.118.127;4004
912;80.211.1.143;4004
915;72.28.30.93;4004
919;80.211.232.174;4004
922;81.150.10.62;4004
925;90.255.232.101;4004
929;158.69.166.132;4004
930;94.177.160.5;4004
933;164.132.104.167;4004
940;202.218.37.121;4004
944;202.218.34.210;4004
945;213.202.229.40;4004
950;158.64.26.134;4005
951;18.188.166.109;4004
964;52.173.142.244;4004
966;203.150.19.24;4004
969;142.93.46.36;4004
970;157.7.221.186;4004
973;211.14.169.43;4004
974;94.177.217.52;4004
986;81.89.102.160;4004
987;185.32.183.148;4004
988;80.211.236.189;4004
989;50.27.131.75;4004
991;80.211.19.121;4004
994;35.177.233.106;4004
996;47.104.177.248;4004
997;94.177.187.40;4004
998;44.140.236.20;4004
999;94.177.173.53;4004
